Idx Definition	Portuguese
1032 _NN_1_Kind_Summon_in_1_Party	Não é possível convocar o mesmo tipo num grupo.
1033 _NN_Party_Full_Cant_Summon	Grupo está cheio. Não é possível convocar mais membros.
1034 _NN_SelectCharacter	Por favor selecione um personagem.
1035 _NN_ServerReboot_Cant_Connect	Servidor está ocupado. Tente novamente mais tarde.
1036 _NN_Version_Not_Match_Rerun	Versão do jogo incompatível com os servidores. Atualize o jogo pelo launcher.
1037 _NN_3_Tims_Wrong_Pass	3 tentativas de senha incorreta ocasiona bloqueio de acesso durante 5 min.
1038 _NN_Wait_Checking_Billing	Aguarde...
1039 _DN_Not_Allowed_Account	Serviço disponível somente para nível %s
1040 _NN_Using_Other_Server_Group	Sua conta está sendo usada em outro servidor.
1041 _NN_Wait_Checking_Billing_t	Você iniciou o jogo no modo direto.
1042 _NN_Not_Allowed_Account_t	Você iniciou o jogo no modo gratuito.
1043 _NN_Using_Other_Server_Group_t	Você se conectou no modo independente.
1044 _NN_Cant_Deposit_That_Much	Esta quantia não pode ser armazenada.
1045 _NN_Cant_Withdraw_That_Much	Esta quantia não pode ser retirada.
1046 _NN_Newbie_zone	Somente nível 35 ou inferior pode entrar no campo de treinamento.
1047 _NN_Only_Guild_Members	Você não pode entrar na zona de outra guilda.
1048 _NN_Cant_Summon_Dead_Person	Personagem derrotado não pode ser invocado ou transferido.
1049 _NN_Summon_Not_Allowed_Here	Você não pode invocar ou transferir nesta zona.
1050 _NN_Too_High_Level_To_Summon	O nível do oponente é muito alto para isto.
1051 _NN_Not_Enough_Mana	Mana Insuficiente.
1052 _SN_Summoned_By_S	Convocado por [%s].
1053 _NN_Level_Up	 + + + + SUBIU DE NÍVEL + + + + 
1054 _NN_3_Quarters_Bonus	3/4 BONUS
1055 _NN_2_Quarters_Bonus	2/4 BONUS
1056 _NN_1_Quarters_Bonus	1/4 BONUS
1057 _SS_Champion_And_Challanger	Guerra de Guildas desta semana, Campeão é %s e Desafiante é %s.
1058 _SN_No_Challanger	Sem desafiante. %s manterá seu título.
1059 _SN_Winner_Is	Vencedor da guerra de guildas desta semana é %s.
1060 _NN_Teleport_Gate_Requir	Necessário pelo menos nível 30 pra acessar o portal de teletransporte.
1061 _SN_I_Wwill_Enchant_Your_Weapon	Aprimorarei sua arma %s.
1062 _NN_Gather_7_Clistals	Consiga 7 cristais, daí fale comigo.
1063 _NN_Equip_Weapon_To_Enchant	Traga uma arma para ser abençoada.
1064 _NN_Only_Nomal_Weapons	Somente armas comuns podem ser abençoadas.
1065 _SN_Now_I_Will_Enchant_Your	Seu equipamento %s será aprimorado com os 7 cristais.
1066 _SN_All_Villagers_Thanks_Your	Todos da cidade agradecem a sua ajuda %s.
1067 _NN_Give_You_Some_Reward	Por favor, receba isto como nossa gratidão.
1068 _NN_Guard_This_Village	Soldado Líder de Azran está enviando o exército do colono.
1069 _NN_Monster_Attaking_Us_Help	As tropas do sudeste estão em apuros. Eles precisam de ajuda.
1070 _NN_Thanks_for_Helping_us	Obrigado por proteger a cidade.
1071 _NN_Youve_Done_It_Already	Você já completou esta Quest.
1072 _NN_Cant_Drop_Here	Não há mais espaço.
1073 _NN_Guild_Medal_Cant_Be_Droped	Este item não pode ser descartado.
1074 _NN_Only_To_Equips	Possível somente com armas e armaduras equipadas.
1075 _NN_Cant_Refine_More	Este item não pode ser mais refinado.
1076 _NN_Fail_To_Refine	Refinação falhou.
1077 _NN_Fail_To_Level_Up	Falhou em subir de nível.
1078 _NN_No_Return_Point	Não há local armazenado para se teletransportar.
1079 _NN_No_Key	Você não possui uma chave.
1080 _NN_Wrong_Trade_Packet1	Erro na transação.
1081 _NN_Only_With_Guild_Master	Transação disponível somente para Mestre de Guilda.
1082 _NN_Already_Trading	Já há uma transação com outro jogador.
1083 _NN_Havent_Money_So_Much	Não possui gold suficiente.
1084 _NN_Opponent_Havent_Money	A contraparte não possui gold suficiente.
1085 _NN_Each_Of_You_Havent_Space	Ambos os lados não possuem espaço suficiente pra receber o item.
1086 _NN_You_Have_No_Space_To_Trade	Não há espaço no inventário para realizar transações.
1087 _NN_Opponent_Have_No_Space_To	A contraparte não possui espaço no inventário para realizar transações.
1088 _NN_Wrong_Trade_Packet2	Erro na transação.
1089 _NN_Summon	Convocado.
1090 _NN_Cant_Use_Killed	Não pode usar quando morto.
1091 _NN_Not_Connected	O jogador não está conectado.
1092 _NN_Cant_Use_To_Yourself	Não pode usar em sim mesmo.
1093 _NN_Cant_Use_To_Killed	Não pode usar em personagens mortos.
1094 _NN_Only_To_Party_Or_Guild	Não pode usar em membros da guilda ou grupo.
1095 _NN_Didnt_Learn_Summon_Skill	Só pode usar quando convocado pelo grupo ou pelo Líder da Guilda.
1096 _NN_Cant_Use_That_Here	Não está disponível nesta área.
1097 _NN_Too_High_Level	Não pode transferir ou convocar devido a nível alto.
1098 _SN_Summoned_By_S	Convocado por [%s]
1099 _NN_Relocate	Teletransportado.
1100 _SN_S_Relocate_To_You	[%s] teletransportou até sua posição.
1101 _NN_Reply	Responder
1102 _NN_No_One_To_Reply	Não há ninguém pra responder.
1103 _SN_S_is_Connected	[%s] : Online
1104 _NN_Only_Guild_Member_Can	Só poderá usar o Chat Guildas se pertence a alguma.
1105 _NN_Maximum_Point_Now	Não pode colocar mais pontos.
1106 _NN_Maximum_Point_200_Now	Não pode passar do nível 200.
1107 _NN_Cant_Learn_Other_Class_Skill	Não pode aprender habilidades de outra classe.
1108 _NN_Not_Enough_Skill_Point	Não possui pontos suficientes.
1109 _NN_Already_Learned_It	Você já aprendeu essa habilidade.
1110 _NN_Need_More_Level_To_Learn	Não possui nível para aprender essa habilidade.
1111 _NN_Need_More_Mastery_To_Learn	Não possui aprendizado para obter essa habilidade.
1112 _NN_Only_Merchant_Sells	Pode comprar itens apenas do mercador.
1113 _NN_Not_Enough_Money	Não possui gold suficiente.
1114 _NN_Only_Guild_Master_Can_Buy_It	Somente o Mestre de Guilda pode comprar.
1115 _NN_He_Is_Not_Merchant	Você não é um comerciante.
1116 _NN_Only_Merchant_Buy_Yours	Possível vender somente para comerciantes.
1117 _NN_Dropped_Current_Party_First	Para criar um grupo você deve finalizar o grupo existente.
1118 _NN_Not_Connected	Este jogador não está conectado.
1119 _NN_Other_Partys_Member	Este jogador já é membro de um grupo.
1120 _NN_Have_Own_Party_Already	Este jogador já criou um grupo.
1121 _NN_Dropped_Current_Party_First	Não pode ingressar no grupo pois você já possui um.
1122 _NN_Partys_Full	O grupo está cheio.
1123 _DN_Billing_Code	Servidor enviou um código de verificação [%s].
1124 _DN_Billing_Notice1	Você possui %s de serviço.
1125 _DD_Billing_Notice2	Você possui %s minutos e %s segundos de serviço.
1126 _NN_Billing_Notice3	Você usou todo o tempo de serviço.
1127 _NN_Billing_Notice4	Transação não foi completada. Encerrando a conexão.
1128 _NN_Billing_Notice5	Conexão simultânea.
1129 _NN_Billing_Notice6	Conexão encerrada pelo servidor.
1130 _NN_Try_Reconnect	Tente conectar novamente.
1131 _NN_No_Account_With_That_Name	Conta inexistente.
1132 _NN_Blocked_Account	Conta bloqueada, entre em contato com Suporte.
1133 _NN_Wrong_Password	Senha incorreta.
1134 _NN_Your_Account_From_Others	Conta desconectada por conexão simultânea.
1135 _NN_Guild_Battle_Notice1	Para participar da Guerra de Guildas aguarde na cidade de sua guilda.
1136 _NN_Guild_Battle_Notice2	Guerra de Guildas começará em 3 minutos.
1137 _NN_Guild_Battle_Notice3	Guera iniciada. Boa sorte!
1138 _NN_Guild_Battle_Notice4	A Guerra de Guildas foi finalizada.
1139 _NN_Guild_Battle_Notice5	Iniciando tomada de aplicações do desafiante da guerra entre guildas.
1140 _NN_Guild_Battle_Notice6	O desafiante foi escolhido.
1141 _NN_Below_lv20_No_Exp_Loss	Abaixo de nível 20 não há perda de EXP.
1142 _DN_lose_D_exp	Você perdeu %s pontos de experiência.
1143 _NN_In_Arena_No_Exp_Loss	Na arena não há perda de EXP.
1144 _NN_Only_Guild_Master_Can	Uso restrito ao Mestre de Guilda.
1145 _NN_Disqualified_By_Guild_Master	Desclassificado pelo Mestre de Guilda.
1146 _NN_Disqualify	Você tomou o requerimento do adversário.
1147 _NN_Haven_Guild_Medal	O usuário não possui a medalha de líder de guilda.
1148 _NN_Deprivate	Usuários não possuem Medalha de Guilda.
1149 _NN_CarryFull	Não há espaço no inventário para a recompensa do castelo.
1150 _NN_Equip_Particle	Traga o item que deseja combinar
1151 _NN_Purify_Particle	Seu item foi combinado.
1152 _NN_Need_1000000_Gold	Requer 1000000 gold.
1153 _NN_Hurry_Helping_them	Rápido, ajude os cidadãos.
1154 _NN_Party_Only	Junte suas tropas e ajude o exército de settler a sudoeste de Azran.
1155 _NN_Need_Pure_Divine	Requer Círculo Divino Puro para a reiniciar as skills.
1156 _NN_Initialize_Skill	Skills foram reiniciadas.
1157 _NN_Need_10_Particle	Você pode agrupar Ori/Lac em 10 unidades.
1158 _NN_Processing_Complete	Processo de combinação foi concluído.
1159 _DD_Billing_Notice7	Você tem %s horas e %s minutos de serviço.
1160 _DN_Billing_Notice8	Você tem %s dias de serviço.
1161 _NN_Disabled_Account	Conta em análise, efetue o login mais tarde.
1162 _NN_No_Guild_Members	Não há membros da guilda conectados no jogo.
1163 _SN_Zakum_Killed	% derrotou Lord Jakum.
1164 _NN_Zakum_Initialize	Castelo Jakum reiniciará em 10 segundos.
1165 _NN_Deny_Whisper	Não é possível sussurrar para este jogador.
1166 _NN_Need_5000000_Gold	Para refinar o item são necessários 5000000 Gold.
1167 _NN_Cant_Sell_Potion	Poções não podem ser vendidas.
1168 _NN_Guild_Tax_0_to_30	Para ajustar a taxa de imposto, digite um valor entre 5 e 25.
1169 _DD_Set_Guild_Tax	A taxa foi ajustada para %s%%.
1170 _NN_CantWhenAutoTrade	Não é possiível durante a auto venda.
1171 _NN_ItemSold	O item foi vendido.
1172 _NN_OnlyVillage	Pode ser vendido apenas na cidade.
1173 _NN_Only_Named_Guild	Disponível somente para guildas com nomes.
1174 _NN_Only_Once_Per_Day	Só é possível uma vez ao dia.
1175 _SSD_S_get_S_D	%s ganha %s-%s
1176 _NN_Refine_Success	Obteve sucesso na refinação.
1177 _DN_Need_D_Sapphire	São necessários %s safiras para entrar neste reino.
1178 _NN_My_King_Bless1	Que a luz de Sephira o ilumine.
1179 _NN_My_King_Bless2	Que a força divina o abençoe.
1180 _NN_Need_Level	Não possui nível suficiente, retorne mais tarde.
1181 _NN_King1_Killed	Reiniciar reino Hekalotia para guerreiro do rei Harbalade.
1182 _NN_King2_Killed	Reiniciar reino Akeronia para guerreiro do rei Glentowat.
1183 _DN_get_D_exp	Você ganhou %s EXP.
1184 _NN_Kingdom	Reino
1185 _NN_King	Rei
1186 _NN_Set_Warp	Localização foi armazenada.
1187 _DS_S_Challanged	[%s Gold]  %s é o desafiante selecionado.
1188 _NN_Need_Master	Necessário autenticação do mestre (guilda) que possui qualificação (reino).
1189 _DN_Need_D_Sapphire2	Você precisa de %s safiras.
1190 _NN_Need_Guild_Medal	Você precisa utilizar medalha de membro de guilda.
1191 _NN_Reconnect	Servidor cheio. Tente novamente mais tarde.
1192 _DN_Need_1000000_For_Challange	Você deve apostar acima de_%s Gold.
1193 _NN_Battle_In_Progress	Há uma partida em progresso.
1194 _NN_Battle_Started	Batalha entre %s e %s foi iniciada.
1195 _SS_S_Killed_By_S	%s(%s) foi derrotado por %s(%s).
1196 _SS_S_WinBy_S	%s é o vencedor, %s é o perdedor desta partida.
1197 _SS_S_S_Draw	Este jogo com %s e %s finalizou em empate.
1198 _SSD_S_get_S	%s ganhou %s.
1199 _NN_Leaving_kingdom	Você será removido deste reino se trouxer 16 safiras.
1200 _NN_Next_Chance	Tente mais tarde.
1201 _NN_Congratulations	Parabéns!
1202 _NN_Stat_Initialized	Pontos de atributos foram redistribuídos.
1203 _DN_Want_Stat_Init	100 pontos de atributos serão redistribuídos se trouxer 16 safiras.
1204 _DN_D_Cost	Você precisa de_%s Gold.
1205 _NN_Cant_with_armor	No momento você não pode equipar arma e armadura.
1206 _NN_Child_Pay	Sistema Preço Júnior pode ser utilizado somente entre 13h e 19h.
1207 _DD_PKPointPlus	Seu ponto caos é %s (Mais_%s).
1208 _DD_PKPointMinus	Seu ponto caos é %s (Menos_%s).
1209 _DN_CantKillUser	Você não pode mais derrotar jogadores. (Atual : %s)
1210 _SS_War_Declared	Guilda %s declarou guerra para a Guilda %s.
1211 _SS_War_Started	Guilda %s aceitou o desafio da Guilda %s.
1212 _SS_War_Canceled	Guilda %s solicitou o cancelamento da guerra com Guilda %s.
1213 _NN_War_Stop	Guerra finalizada.
1214 _NN_Cant_Declare_War	Você pode declarar guerra somente para uma guilda.
1215 _NN_Party_Level_Limit	Grupo é possível somente para jogadores com diferença de 200 níveis.
1216 _NN_Summon_Guild	Invocação de Guilda.
1217 _NN_Only_Village	Possível somente na cidade.
1218 _SN_Your_are_at_war	Agora você está em guerra com a Guilda %s.
1219 _SN_War_to_S	Agora %s declarou guerra.
1220 _SN_War_from_S	Você aceitou a declaração de guerra da Guilda %s.
1221 _SS_War_declare_canceled	Guilda %s cancelou a declaração de guerra à Guilda %s.
1222 _SD_Zakum_Quest_by_S_N	Agora %s e %s estão progredindo na quest.
1223 _NN_Zakum_Quest_empty	Não há ninguém atacando o Castelo Jakum.
1224 _NN_Only_Level1_Armor	Disponível somente para Aço, Sombrio, Águia, Metal.
1225 _NN_Only_Level2_Armor	Disponível somente para Dourado, Concha, Osso, Combatente.
1226 _NN_Only_Level3_Armor	Disponível somente para Anã, Conjurador, Aeon, Natureza.
1227 _NN_Only_Level4_Armor	Disponível somente para Embutido, Mithril, Elemental, Teia.
1228 _NN_Only_By_Water_Scroll	Requer o uso do Pergaminho da Água para entrar na Zona Elemental.
1229 _NN_Party_Leader_Only	Uso restrito ao líder do grupo.
1230 _NN_NewbieQuest_Already1	Deus te abençoe.
1231 _NN_NewbieQuest_Cheerup1	Se não possuir a chave Gremlin Isca, não poderei lhe dar nada.
1232 _NN_NewbieQuest_Complete1	Começou. Pegue isto e siga em frente.
1233 _NN_NewbieQuest_Reward1	Recebeu Caixa de Poção de Cura (20) como recompensa.
1234 _NN_NewbieQuest_Already2	Você é um cara de sorte.
1235 _NN_NewbieQuest_Cheerup2	Se não possuir a chave para o portal 2, não poderei ajudá-lo.
1236 _NN_NewbieQuest_Complete2	Sua arma parece ruim. Posso resolver isto.
1237 _NN_NewbieQuest_Reward2	Como recompensa, a opção da arma foi alterada.
1238 _NN_NewbieQuest_Already3	Preparações estão concluídas exceto por uma coisa.
1239 _NN_NewbieQuest_Cheerup3	Tome a chave que pertence ao Orc Atirador.
1240 _NN_NewbieQuest_Complete3	Aqui, isto lhe dará força.
1241 _NN_NewbieQuest_Reward3	Armas e Armaduras foram refinadas.
1242 _NN_NewbieQuest_Already4	Há um Castelo Orc ao norte de Armia.
1243 _NN_NewbieQuest_Cheerup4	Traga-me a Capa do Orc ou não haverá recompensa.
1244 _NN_NewbieQuest_Complete4	Você não é mais um iniciante. Precisará disto.
1245 _NN_NewbieQuest_Reward4	Ganhou um prêmio por finalizar a quest.
1246 _NN_BR_Start1	Batalha Real está iniciando para Nv < 100.
1247 _NN_BR_Start2	Batalha Real está iniciando para Nv < 200.
1248 _NN_BR_Start3	Batalha Real está iniciando para qualquer nível.
1249 _NN_BR_Rewarded	Prêmio do vencedor está no altar.
1250 _NN_BR_Ready1	Batalha Real para Nv < 100 inicia no coliseu em 2min.
1251 _NN_BR_Ready2	Batalha Real para Nv < 200 incia no coliseu em 2min.
1252 _NN_BR_Ready3	Batalha Real para qualquer nível inicia no coliseu em 2min.
1253 _NN_INCUBATED	Incubação sucedida.
1254 _NN_Cant_Upgrade_More	Não é mais possível aprimorar.
1255 _NN_Mount_Growth	Crescimento da montaria foi finalizado.
1256 _NN_Mount_Not_Match	Não corresponde à montaria.
1257 _NN_Cure_animals	Se trouxer um animal doente, eu irei curá-lo.
1258 _DS_S_cure_price_D	Se deseja curar %s, o custo será de %s Gold.
1259 _NN_Cured	Montaria foi curada.
1260 _NN_Cure_failed	Tratamento de montaria falhou.
1261 _NN_Incu_Wait_More	Incubação não está pronta.
1262 _NN_Incu_Proceed	Período de incubação foi reduzido.
1263 _NN_Mount_Level	Sua montaria cresceu.
1264 _NN_Mount_died	Sua montaria morreu de fome.
1265 _NN_3rd_village_limit	Guerra entre Guildas de Erion é somente para nível inferior a 150.
1266 _NN_Only_Sunday	Medalha de membro de guilda não pode ser trocada às Segundas.
1267 _NN_Treasure_Map	Mapa do tesouro está concluído.
1268 _NN_TicketUsed	Cupom foi registrado.
1269 _NN_CombineFailed	Combinação de item falhou.
1270 _SS_CombineSucceed	%s obteve sucesso na combinação %s.
1271 _NN_Wrong_Combination	Há algo de errado na combinação.
1272 _NN_Item_Arrived	Chegou um item no Guarda de Carga.
1273 _NN_Cant_get_more_than_2G	Não é possível armazenar mais que 2 bilhões de Gold.
1274 _SN_Learn_Sephera	Você aprendeu Skill Sephira [%s].
1275 _DN_Castle_will_be_open	Guerra de Castelos iniciará em 5 minutos.
1276 _DN_Castle_opened	Guerra de Castelos foi iniciada.
1277 _DN_Castle_will_be_closed	Guerra de Castelos será finalizada em 5 minutos.
1278 _DN_Castle_closed	Guerra de Castelos foi finalizada.
1279 _NN_Only_when_castle_war	Você pode utilizar isto somente na Guerra entre Castelos.
1280 _SN_S_is_charging_castle	%s conquistou o altar de Thor.
1281 _SN_S_charge_castle	%s destruiu o Castelo de Noatun.
1282 _NN_Only_same_kingdom	Somente para o mesmo Reino.
1283 _SN_Ally_to_S	Sua guilda reconheceu Guilda %s como aliada.
1284 _SN_Ally_from_S	Sua guilda está sendo reconhecida como aliada da Guilda %s.
1285 _NN_Ally_Stop	Aliança finalizada.
1286 _SS_Ally_Canceled	Guilda %s finalizou aliança com Guilda %s.
1287 _SS_Ally_Declared	Guilda %s solicitou aliança com Guilda %s.
1289 _NN_Cant_Declare_Ally	Você pode se aliar somente com uma guilda.
1290 _SSNN_GuildWarResult	Guilda %s venceu Guilda %s com pontuação de %s:%s.
1291 _NN_Need_5_materials	Você deve coletar cinco materiais.
1292 _NN_snowimp_create_success	Obteve sucesso na produção de Griupan.
1293 _NN_snowimp_need_2MGold	Requer 2000000 Gold para produzir um Griupan.
1294 _DN_receive_D_gold	Você recebeu %s Gold.
1295 _NN_Someone_is_on_quest	Outros jogadores já estão realizando esta quest.
1296 _NN_Only_at_tor_alter	Você deve utilizar isto no Altar de Thor.
1297 _NN_Only_quiz_time	Disponível somente na sessão Desafio Quiz.
1298 _NN_Level_limit	Nível Insuficiente. Isto não pode ser utilizado.
1299 _NN_Message_Sent	Mensagem Enviada.
1300 _NN_New_Class_quest	Disposto a seguir o caminho da vida eterna? Adquira antes duas almas.
1301 _NN_New_Class_quest_Lv	Disposto a seguir o caminho da vida eterna? Evolua antes seu nível.
1302 _NN_Set_Soul	Insira duas almas para combinação.
1303 _NN_Soul_Merged	Pedra da Imortalidade foi produzida. Equipe-a e procure o rei do seu reino.
1304 _NN_Go_to_skill_master	Adquira oito skills Sephira e procure o Mestre de Skill de Armia.
1305 _NN_Sepherot_created	Sephirot foi produzido. Equipe-o e procure o rei do seu reino.
1306 _NN_VS_Server	Você não pode proceder no campo de batalha.
1307 _NN_NoEmptySlot	Não há espaço para o Arch. Exclua um personagem.
1308 _NN_NewCharacter	Deseja criar o Arch com a Pedra da Imortalidade e Sephirot?
1309 _NN_Soul_n_8_Sephera	Deseja produzir Sephirot?
1310 _NN_Congratulations_Trans	Você criou o Arch. Que a glória de Sephira esteja com você.
1311 _NN_Need_8_Sephera	Requer 8 propriedades de Sephira mais 30.000.000 Gold.
1312 _NN_Cant_in_castle_war	Indisponível durante a Guerra de Castelos.
1313 _NN_SameCharAlready	Você já possui um personagem com o mesmo nome.
1314 _NN_NeedMoreExp	Você precisa de mais experiência para criar o Arch.
1315 _NN_BelongToS	%s e seu grupo possuem prioridade.
1316 _NN_You_get_the_Apple	Você adquiriu uma maçã.
1317 _NN_Already_you_have	Você já pegou a maçã.
1318 _DD_Correct_answer	Correto! Você procederá %s passos. (Exp bônus: %s).
1319 _DD_Incorrect_answer	Resposta Incorreta! Você retornará %s passos. (EXP reduz: %s).
1320 _NN_YouNeedTicket	Você deve comprar um cupom no NPC.
1321 _NN_Incorrect_kicked	Resposta Incorreta! Você foi forçado a sair.
1322 _NN_Quiz_Cleared	Tome a maçã como recompensa. Você retornará em 15 segundos.
1323 _NN_Only_By_Quiz_Scroll	Utilize o pergaminho de Arnold, o ferreiro do sudoeste de Azran.
1324 _NN_Only_at_south_of	Isto pode ser utilizado somente no campo sudoeste de Azran.
1325 _NN_VS_Battle	PK - 2 jogadores que aceitarem o confronto irão para o campo.
1326 _NN_Party_Battle2	Grupo Guerra - 5 membros de ambos os grupos irão para o campo.
1327 _NN_Party_Battle2	10 jogadores de ambos os grupos irão para a arena de batalha.
1328 _NN_Party_Battle3	Todos os jogadores de ambos os grupos irão para a arena de batalha.
1329 _NN_Guild_Battle	Todos os membros de guilda serão invocados.
1330 _NN_You_need_feeding_mount	Você deve alimentar sua montaria.
1331 _NN_Cant_trade_pkmode	A troca não fica disponível com o modo PK ativado.
1332 _NN_No_Lotto_Result_Yet	Ainda não há vencedor.
1333 _NN_Lotto_No_0	Tente mais tarde.
1334 _NN_Lotto_No_1	Você está em primeiro lugar. Há um prêmio para você.
1335 _NN_Lotto_No_2	Você está em segundo lugar. Há um prêmio para você.
1336 _NN_Lotto_No_3	Você está em terceiro lugar. Há um prêmio para você.
1337 _DN_Lotto_No_4	Você está em quarto lugar. Você ganhou %s EXP.
1338 _NN_Lotto_No_5	Você está em quinto lugar. Você ganhou 10.000 EXP.
1339 _NN_FromMonday	Você pode comprar cupons da loteria WYD de segunda à sexta.
1340 _NN_Level_Limit2	Seu nível não permite o uso disto.
1341 _DN_LottoResult	Busca de resultado da loteria.
1342 _NN_HitNumber	Número vencedor: %2d %2d %2d %2d %2d %2d Número da Sorte: %2d
1343 _NN_SelectedNumber	Número selecionado: %2d %2d %2d %2d %2d %2d 
1344 _SD_NoticeLotto	%s ganhou %s na loteria WYD.
1345 _NN_CantEatMore	Não é possível comer mais.
1346 _NN_SameLevelOnly	Os níveis não são compatíveis para uma batalha, somente para o mesmo nível.
1347 _NN_Need_Elixer	Para participar do experimento do Arch, você precisa do elixir.
1348 _NN_Quiz2_Cleared	Você concluiu o "Cubo do Caos". Retorno após 15 segundos.
1349 _NN_Night_Limited	Há muitos jogadores.
1350 _NN_Night_Already	Quest em progresso.
1351 _NN_Water_Cleared	Retorno após 15 segundos.
1352 _NN_Chat_Prohibition	Chat foi bloqueado pelo GM.
1353 _NN_No_Speak	Uso do chat está bloqueado.
1354 _NN_Chat_Free	Chat foi liberado pra uso.
1355 _DN_Event_Limit	Somente jogadores abaixo do nível %s podem participar.
1356 _NN_Event_Stop	Quest foi cancelada.
1357 _NN_Hell_Clear	Os comerciantes surgiram próximo da escultura central.
1358 _NN_Not_KillBoss	Por favor derrote os monstros.
1359 _NN_Not_Teleport	Por favor utilize outro portal.
1360 _NN_Not_NeedUp	Condições de combinação não são adequadas.
1361 _NN_Killed_Boss	Lichs foram derrotados.
1362 _NN_Used_Chao	Disponível somente quando o nível de Caos for inferior ou igual a -50 pontos.
1363 _DN_Show_Chao	Pontos Caos atual: %s
1364 _NN_Not_StatInit	Não há mais habilidade para iniciar.
1365 _NN_Another_Server	Por favor utilize outro servidor.
1366 _NN_Not_SellItem	Não é possível vender este item na loja.
1367 _DD_D_Show_Time	Período Restante: %s HORA %s MIN %s SEG
1368 _DN_Show_Date	Período Restante: %s Dia(s)
1369 _NN_End_Service	Período de consumo se esgotou.
1370 _NN_Name_Khepra	Kefra
1371 _NN_CantGetItem	Item não pode ser mais obtido.
1372 _NN_CantAdultUsed	Não disponível para menores.
1373 _DN_Level_Limit	Somente acima do nível %s pode utilizar.
1374 _NN_Only_when_castle_start	Você deve ocupar o cerco durante 30 minutos.
1375 _NN_Castle_Can_charge	A partir de agora você pode ocupar o altar de Thor.
1376 _NN_Stop_Service	Servidor temporariamente indisponível.
1377 _DS_Notice_Jackpot	%s ganhou o prêmio jackpot de %s Gold!!!
1378 _SN_End_Khepra	Você obteve sucesso no selamento do Kefra na Guilda %s.
1379 _NN_Cant_MoveItem	Este item não pode ser movimentado.
1380 _NN_Need_ExpMore	Experiência Insuficiente.
1381 _NN_Need_Trans	Somente personagem de corpo transferido.
1382 _NN_Need_BeforeQuest	Antes você deve concluir a quest anterior.
1383 _DN_Play_Quest	Você concluiu a Quest %s.
1384 _NN_NoHave_Quest	Não há quest em progresso.
1385 _NN_SND_MESSAGE	Mensagem:
1386 _UN_JACKPOT_MESSAGE	Agora o Jackpot é %u Gold.
1387 _NN_NOT_TRANSITEM	Item de transferência de corpo não pode ser utilizado.
1388 _NN_ITEM_DESTROY	Os itens foram descartados.
1389 _SN_Item_BelongToS	Item pertence a %s.
1390 _NN_NotEquip_Saturday	Medalha de Guilda não pode ser equipada aos domingos.
1391 _DD_Lotto_No_6	Você conquistou %s Vitória(s) e %s EXP.
1392 _NN_Need_Kingdom	Somente para mestres com qualificações do reino.
1393 _SSDD_HeavenWarResult	A batalha entre %s e %s finalizou em empate. (%s : %s)
1394 _NN_NeedOverSapp	Quando usar o pacote de 10 Safiras, traga o total exato.
1395 _NN_Complete_Quest	Quest finalizada.
1396 _SSDD_HeavenWarResult2	Guilda %s derrotou a Guilda %s. (%s : %s)
1397 _SSDD_HeavenWarResult3	A batalha entre %s e %s finalizou em empate. (%s : %s)
1398 _NN_GAMEROOM_ITEM	Item somente para Lanhouses.
1399 _NN_PLUS_POINT	Seu ponto foi acumulado.
1400 _DN_PLUS_CPPOINT	Aumentou %s CP.
1401 _DN_SUB_CPPOINT	Reduziu %s CP.
1402 _NN_Only_OneSkillLearn	8ª Skill pode ser somente da 1ª Classe.
1403 _NN_Befor_LearnSkill	É necessário aprendar todas as skills antes da 8ª Skill.
1404 _NN_Cash_ChargeOk	Seu CASH foi recarregado.
1405 _NN_Cash_ChargeErr	Há um erro no recarregamento do CASH.
1406 _NN_NOTUSE_TRANS	Não é possível utilizar a troca de personagem Arch.
1407 _NN_NOTUSE_YET	Servidor indisponível.
1408 _NN_Maximum_Point_255_Now	Não é possível aumentar mais que 255 (máx).
1409 _NN_EquipArmor_Refine	Armadura equipada +6 ou inferior foi refinada.
1410 _DN_Recovery_Life	Vida de sua montaria foi recuperada em %s.
1411 _DN_CanUse_Time	Este serviço pode ser utilizado de %d.
1412 _NN_Crack_Block	Bloqueio de 3 horas por atitude suspeita ou uso de programa ilegal.
1413 _SN_Use_Item	Você utilizou o item_%s.
1414 _I64D_TOWN_TAX	Imposto no momento é %s.
1415 _DD_QUIZ	Você recebeu %s EXP e %s Gold.
1416 _DD_NOT_QUIZ	Resposta incorreta!
1417 _NN_GIVE_TOWN_TAX	Você coletou imposto.
1418 _NN_CANT_USE_NIGHTMARE	Pesadelo disponível entre 18h e 24h.
1419 _NN_CHANGE_PASSWORD	Você pode conectar após trocar sua senha.
1420 _DN_CHANGE_COUNT	Você pode usar isto %s vezes.
1421 _SN_CREATEGUILD	Guilda %s foi criada.
1422 _SN_JOINGUILD	Você entrou na Guilda %s.
1423 _DN_TOWNSPEOPLE	Por ser cidadão deste servidor você ganhou %d Bônus Drop.
1424 _DN_BASEWORRESULT	Servidor %s ocupa o Posto Avançado.
1425 _DN_BASEWORSTART	Guerra entre Canais foi iniciada.
1426 _DD_SERVERWAR	Servidor %s declarou guerra para o Servidor %d.
1427 _DD_JOINTOWNPEP	Você se cadastrou neste servidor.
1428 _DN_DOSERVERWAR	Você está em guerra com o canal %s.
